season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount,id,homeID,awayID,roundID,game_week,revised_game_week,homeGoals,awayGoals,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,refereeID,coach_a_ID,coach_b_ID,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,odds_ft_over05,odds_ft_over15,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under35,odds_ft_under45,odds_team_a_cs_yes,odds_team_a_cs_no,odds_team_b_cs_yes,odds_team_b_cs_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,odds_1st_half_result_1,odds_1st_half_result_x,odds_1st_half_result_2,odds_2nd_half_result_1,odds_2nd_half_result_x,odds_2nd_half_result_2,odds_dnb_1,odds_dnb_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2,odds_team_to_score_first_1,odds_team_to_score_first_x,odds_team_to_score_first_2,odds_win_to_nil_1,odds_win_to_nil_2,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_over25,odds_1st_half_over35,odds_1st_half_under05,odds_1st_half_under15,odds_1st_half_under25,odds_1st_half_under35,odds_2nd_half_over05,odds_2nd_half_over15,odds_2nd_half_over25,odds_2nd_half_over35,odds_2nd_half_under05,odds_2nd_half_under15,odds_2nd_half_under25,odds_2nd_half_under35,odds_btts_1st_half_yes,odds_btts_1st_half_no,odds_btts_2nd_half_yes,odds_btts_2nd_half_no,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,btts_fhg_potential,btts_2hg_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o45_potential,o35_potential,o25_potential,o15_potential,o05_potential,o15HT_potential,o05HT_potential,o05_2H_potential,o15_2H_potential,corners_potential,offsides_potential,cards_potential,avg_potential,home_url,home_image,away_url,away_image,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u45_potential,u35_potential,u25_potential,u15_potential,u05_potential,corners_o85_potential,corners_o95_potential,corners_o105_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,match_url,competition_id,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,homeGoals_timings,awayGoals_timings,image_league,home_position,away_position
2021/2022,Austria Bundesliga,2021-07-23,15:30:00,complete,Sturm Graz,Salzburg,5.0,4.33,1.47,1.5,2.4,1.62,2.2,1,3,1276191,582,100,70480,1,-1,['11'],"['69', '76', '85']",4,8,5,13,1,0,1,2,0,0,4,7,13,16,17,23,13,12,38,62,3054.0,1375.0,36403.0,Merkur Arena (Graz),,1,2,1.04,1.19,2.2,3.8,14.0,4.6,1.6,1.26,6.25,1.08,2.55,1.45,2.4,1.13,1.16,5.0,2.6,2.05,4.75,2.9,1.8,0,0,1.22,1.42,1.74,2.23,3.0,4.0,2.75,2.02,1.61,1.35,4.65,7.25,1.26,3.0,12.0,1.36,8.25,2.85,1.25,2.2,5.0,13.0,3.75,1.62,1.17,1.04,1.14,1.7,3.2,6.5,5.0,2.05,1.3,1.08,0,0,0,0,4,1,0,0,3,3,1,100,0,0,0,0,0,-1,1,1,1,4,7,1,5,8,0,1,1,1,1,2,1,36,74,76,121,1.61,2.47,4.08,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sk-sturm-graz-582,teams/austria-sk-sturm-graz.png,/clubs/fc-salzburg-100,teams/austria-fc-salzburg.png,1.94,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/fc-salzburg-vs-sk-sturm-graz-h2h-stats#1276191,6008,32,True,True,True,True,False,False,True,['11'],"['69', '76', '85']",https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-24,12:00:00,complete,Rapid Wien,Hartberg,1.44,4.2,6.5,1.6,2.2,1.8,1.95,0,2,1276192,583,599,70480,1,-1,[],"['41', '68']",2,10,4,14,4,1,0,2,0,0,6,8,17,7,23,15,10,12,59,41,3057.0,1368.0,1400.0,Allianz Stadion (Wien),,0,2,1.04,1.2,2.55,3.95,15.0,4.4,1.47,1.25,2.2,1.54,6.0,1.07,1.12,1.12,2.7,1.95,2.5,6.0,1.73,2.9,5.5,0,0,1.27,1.5,1.93,2.45,3.4,3.55,2.48,1.88,1.5,1.29,1.3,9.0,4.5,1.33,10.5,3.4,2.45,8.0,1.29,2.38,6.0,17.0,3.5,1.53,1.13,1.03,1.17,1.85,3.6,7.5,4.4,1.87,1.25,1.06,0,0,0,0,2,0,1,0,1,1,1,599,0,0,0,0,0,12200,1,1,6,2,4,2,8,6,0,1,0,1,1,1,1,75,35,133,99,2.41,1.76,4.18,0,1,0,1,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sk-rapid-wien-583,teams/austria-sk-rapid-wien.png,/clubs/tsv-hartberg-599,teams/austria-tsv-hartberg.png,1.65,1.13,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/sk-rapid-wien-vs-tsv-hartberg-h2h-stats#1276192,6008,32,True,True,False,False,False,False,False,[],"['41', '68']",https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-24,12:00:00,complete,Rheindorf Altach,LASK Linz,5.0,3.8,1.57,1.66,2.09,1.83,1.91,0,1,1276193,577,595,70480,1,-1,[],['35'],1,1,10,11,2,5,5,1,0,0,2,5,4,21,6,26,16,22,45,55,3046.0,1352.0,34216.0,CASHPOINT Arena (Altach),,5,1,1.05,1.25,2.75,4.75,11.0,3.85,1.42,1.18,5.25,1.1,2.25,1.53,2.3,1.16,1.16,5.5,2.38,2.1,4.75,2.75,1.83,0,0,1.22,1.42,1.74,2.23,3.0,4.0,2.75,2.02,1.61,1.35,5.5,7.75,1.2,3.1,9.75,1.4,7.25,2.55,1.33,2.5,6.5,17.0,3.25,1.5,1.11,1.03,1.18,1.87,3.6,7.5,4.33,1.83,1.25,1.06,0,0,0,0,1,0,1,0,0,0,1,595,0,0,0,0,0,-1,1,1,0,6,1,4,6,5,1,0,4,1,1,5,1,26,62,114,115,0.73,2.43,3.16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sc-rheindorf-altach-577,teams/austria-sc-rheindorf-altach.png,/clubs/lask-linz-595,teams/austria-lask-linz.png,0.75,0.94,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/sc-rheindorf-altach-vs-lask-linz-h2h-stats#1276193,6008,32,True,False,False,False,False,False,False,[],['35'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-24,12:00:00,complete,Wattens,Admira,1.73,3.8,4.33,1.8,2.0,1.75,2.0,1,1,1276194,591,578,70480,1,-1,['60'],['90+3'],2,6,8,14,1,4,3,2,0,0,4,3,10,7,14,10,17,11,51,49,3063.0,1386.0,27823.0,Tivoli Stadion Tirol (Innsbruck),,3,2,1.03,1.25,2.9,5.0,9.0,3.6,1.36,1.14,2.4,1.44,4.3,1.14,1.2,1.2,2.0,2.38,2.3,4.5,2.05,2.6,4.0,0,0,1.27,1.5,1.9,2.45,3.4,3.55,2.48,1.9,1.5,1.29,1.62,7.5,2.88,1.5,9.0,2.75,2.9,6.0,1.33,2.63,7.0,19.0,3.25,1.44,1.1,1.02,1.2,1.91,4.0,11.0,4.33,1.8,1.22,1.05,0,0,0,0,2,0,0,1,1,2,0,-1,0,0,0,0,0,-1,1,1,2,4,4,4,6,8,0,1,3,1,1,4,1,40,47,110,131,1.46,1.2,2.66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/wsg-swarovski-wattens-591,teams/austria-wsg-swarovski-wattens.png,/clubs/fc-admira-wacker-modling-578,teams/austria-fc-admira-wacker-modling.png,1.39,1.13,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/fc-admira-wacker-modling-vs-wsg-swarovski-wattens-h2h-stats#1276194,6008,32,True,True,False,False,False,False,True,['60'],['90+3'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-25,12:00:00,complete,Ried,Austria Wien,2.87,3.3,2.15,1.61,2.15,1.65,2.15,2,1,1276195,584,579,70480,1,-1,"['56', '67']",['75'],3,3,7,10,2,2,0,0,0,0,5,5,4,8,9,13,4,8,28,72,282.0,12924.0,40408.0,josko ARENA (Ried Im Innkreis),,0,0,1.06,1.28,2.65,4.75,10.0,3.6,1.45,1.18,3.9,1.17,3.15,1.26,1.62,1.2,1.4,3.4,2.3,2.88,3.0,2.6,2.5,0,0,1.18,1.34,1.61,2.02,2.7,4.5,3.1,2.23,1.74,1.43,2.2,6.0,1.87,2.2,9.75,1.73,4.85,3.85,1.3,2.5,6.0,17.0,3.4,1.5,1.13,1.03,1.18,1.87,3.6,7.75,4.25,1.83,1.25,1.05,0,0,0,0,3,0,0,2,1,3,0,584,0,0,0,0,0,-1,1,-1,0,3,3,4,3,7,0,0,0,0,0,0,1,32,81,69,144,1.15,1.77,2.92,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sv-ried-584,teams/austria-sv-ried.png,/clubs/fk-austria-wien-579,teams/austria-fk-austria-wien.png,1.63,1.31,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/fk-austria-wien-vs-sv-ried-h2h-stats#1276195,6008,32,True,True,True,False,False,False,True,"['56', '67']",['75'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-25,12:00:00,complete,Austria Klagenfurt,Wolfsberger AC,4.0,3.4,1.75,1.7,2.0,1.77,2.0,1,1,1276196,598,581,70480,1,-1,['90'],['25'],2,6,4,10,0,3,2,1,1,0,5,3,6,6,11,9,21,15,43,57,3053.0,1399.0,83.0,Wörthersee Stadion (Klagenfurt am Wörthersee),"Südring 207, Klagenfurt am Wörthersee",4,1,1.09,1.35,2.95,5.75,8.25,3.1,1.36,1.14,4.5,1.15,2.5,1.47,2.0,1.2,1.2,4.33,2.3,2.38,4.0,2.6,2.1,0,0,1.22,1.44,1.8,2.35,3.2,3.8,2.6,1.91,1.53,1.3,2.9,6.0,1.54,2.63,9.0,1.53,6.5,3.0,1.33,2.63,6.5,19.0,3.25,1.44,1.11,1.02,1.2,1.91,4.0,10.0,4.33,1.8,1.22,1.06,0,0,0,0,2,0,1,1,0,1,1,-1,0,0,0,0,0,-1,1,1,2,2,4,2,4,6,1,1,2,0,2,2,1,47,54,96,78,1.39,1.17,2.56,0,1,0,1,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/sk-austria-klagenfurt-598,teams/austria-sk-austria-klagenfurt.png,/clubs/wolfsberger-athletik-club-581,teams/austria-wolfsberger-athletik-club.png,1.13,1.31,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/wolfsberger-athletik-club-vs-sk-austria-klagenfurt-h2h-stats#1276196,6008,32,True,True,False,False,False,False,True,['90'],['25'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-31,12:00:00,complete,LASK Linz,Rapid Wien,2.17,3.34,2.71,2.2,1.67,1.59,2.25,1,1,1276197,595,583,70480,2,-1,['79'],['8'],2,5,4,9,2,2,1,3,0,0,5,4,3,4,8,8,10,16,56,44,3058.0,34216.0,1368.0,Raiffeisen Arena (Pasching),,1,3,1.05,1.22,2.55,4.3,13.0,4.15,1.52,1.21,3.15,1.31,4.3,1.17,1.27,1.3,1.75,2.6,2.25,3.6,2.35,2.65,3.25,0,0,1.2,1.4,1.7,2.2,2.95,4.1,2.75,2.05,1.6,1.35,1.43,7.5,3.75,1.72,15.0,2.15,3.85,5.75,1.32,2.45,6.0,13.0,3.15,1.48,1.12,1.04,1.17,1.85,3.6,7.5,4.75,1.85,1.24,1.07,0,0,0,0,2,0,1,1,0,1,1,-1,0,0,0,0,0,-1,1,1,3,1,2,3,4,5,0,1,1,2,1,3,1,91,39,137,101,1.52,1.08,2.6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/lask-linz-595,teams/austria-lask-linz.png,/clubs/sk-rapid-wien-583,teams/austria-sk-rapid-wien.png,1.44,1.12,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/sk-rapid-wien-vs-lask-linz-h2h-stats#1276197,6008,33,True,True,False,False,False,False,True,['79'],['8'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-31,12:00:00,complete,Admira,Austria Klagenfurt,1.91,3.45,3.17,2.0,1.83,1.8,2.0,4,0,1276199,578,598,70480,2,-1,"['67', '70', '77', '90+1']",[],4,9,0,9,3,0,3,1,0,2,9,0,14,0,23,0,17,8,69,31,5148.0,27823.0,1399.0,BSFZ-Arena (Maria Enzersdorf),,3,5,1.08,1.34,3.0,5.75,8.25,3.2,1.38,1.15,3.0,1.33,3.8,1.22,1.35,1.2,1.7,2.75,2.3,3.6,2.4,2.55,3.25,0,0,1.22,1.43,1.72,2.25,3.1,3.9,2.6,2.0,1.57,1.33,2.0,7.0,2.2,1.67,9.0,2.3,3.8,5.0,1.36,2.63,7.0,19.0,3.0,1.44,1.1,1.02,1.2,2.0,4.0,11.0,4.33,1.73,1.22,1.05,0,0,0,0,4,0,0,4,0,4,0,578,0,0,0,0,0,1625,1,1,3,0,6,0,3,6,2,2,1,1,4,2,1,100,26,121,71,2.79,0.2,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/fc-admira-wacker-modling-578,teams/austria-fc-admira-wacker-modling.png,/clubs/sk-austria-klagenfurt-598,teams/austria-sk-austria-klagenfurt.png,0.81,1.13,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/fc-admira-wacker-modling-vs-sk-austria-klagenfurt-h2h-stats#1276199,6008,32,True,True,True,True,False,False,False,"['67', '70', '77', '90+1']",[],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-07-31,12:00:00,complete,Hartberg,Rheindorf Altach,1.91,3.45,3.17,1.83,1.94,1.69,2.1,1,2,1276201,599,577,70480,2,-1,['81'],"['16', '28']",3,8,2,10,1,1,1,5,0,0,8,7,9,3,17,10,9,15,70,30,3089.0,1400.0,1352.0,PROfertil ARENA (Hartberg),,1,5,1.07,1.29,3.1,5.0,9.25,3.5,1.38,1.17,2.9,1.36,4.05,1.19,1.27,1.32,1.72,2.78,2.33,3.99,2.5,2.25,3.4,0,0,1.29,1.53,1.98,2.55,3.5,3.4,2.4,1.83,1.48,1.27,1.76,7.9,2.66,1.72,11.0,2.25,3.75,6.0,1.37,2.81,5.8,14.0,3.23,1.46,1.1,1.04,1.2,1.95,4.1,9.0,4.1,1.75,1.2,1.05,0,0,0,0,3,0,2,1,0,1,2,577,0,0,0,0,0,2132,1,1,1,2,7,0,3,7,0,1,1,4,1,5,1,109,60,155,88,2.42,1.56,3.98,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/tsv-hartberg-599,teams/austria-tsv-hartberg.png,/clubs/sc-rheindorf-altach-577,teams/austria-sc-rheindorf-altach.png,0.94,1.06,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/sc-rheindorf-altach-vs-tsv-hartberg-h2h-stats#1276201,6008,32,True,True,True,False,False,False,True,['81'],"['16', '28']",https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
2021/2022,Austria Bundesliga,2021-08-01,12:00:00,complete,Austria Wien,Wattens,1.95,3.6,3.6,1.67,2.1,1.59,2.3,1,1,1276203,579,591,70480,2,-1,['80'],['45+3'],2,5,9,14,4,0,2,0,0,0,9,4,8,7,17,11,11,7,42,58,3050.0,40408.0,1386.0,Generali Arena (Wien),"Fischhofgasse 14, Wien",2,0,1.06,1.25,2.8,4.4,11.0,3.9,1.44,1.21,2.9,1.35,4.3,1.17,1.25,1.27,1.85,2.45,2.2,3.9,2.2,2.7,3.5,0,0,1.2,1.4,1.7,2.2,2.95,4.1,2.75,2.05,1.6,1.35,1.62,8.3,2.97,1.65,12.0,2.35,3.5,5.75,1.32,2.4,5.3,13.0,3.1,1.5,1.12,1.02,1.17,1.85,3.6,8.0,4.4,1.85,1.25,1.06,0,0,0,0,2,0,1,1,0,1,1,-1,0,0,0,0,0,6053,1,1,1,4,4,5,5,9,1,0,1,0,1,1,1,81,53,118,138,2.29,1.37,3.66,0,1,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/clubs/fk-austria-wien-579,teams/austria-fk-austria-wien.png,/clubs/wsg-swarovski-wattens-591,teams/austria-wsg-swarovski-wattens.png,1.56,1.06,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,/austria/fk-austria-wien-vs-wsg-swarovski-wattens-h2h-stats#1276203,6008,32,True,True,False,False,False,False,True,['80'],['45+3'],https://cdn.footystats.org/img/competitions/austria-bundesliga.png,,
